id,value
party.Labour Party; Cooperative Party,
party.Labour Party; Cooperative Party.Attorney General,5
party.Labour Party; Cooperative Party.Cabinet Office,12
party.Labour Party; Cooperative Party.Church Commissioners,7
party.Labour Party; Cooperative Party.Communities and Local Government,25
party.Labour Party; Cooperative Party.Department for Business Innovation and Skills,34
party.Labour Party; Cooperative Party.Department for Culture Media and Sport,14
party.Labour Party; Cooperative Party.Department for Education,41
party.Labour Party; Cooperative Party.Department for Environment Food and Rural Affairs,19
party.Labour Party; Cooperative Party.Department for International Development,16
party.Labour Party; Cooperative Party.Department for Transport,34
party.Labour Party; Cooperative Party.Department for Work and Pensions,22
party.Labour Party; Cooperative Party.Department of Energy and Climate Change,30
party.Labour Party; Cooperative Party.Department of Health,26
party.Labour Party; Cooperative Party.Foreign and Commonwealth Office,29
party.Labour Party; Cooperative Party.Home Office,27
party.Labour Party; Cooperative Party.House of Commons Commission,5
party.Labour Party; Cooperative Party.Leader of the House of Commons,4
party.Labour Party; Cooperative Party.Minister for Women and Equalities,9
party.Labour Party; Cooperative Party.Ministry of Defence,30
party.Labour Party; Cooperative Party.Ministry of Justice,20
party.Labour Party; Cooperative Party.Northern Ireland Office,4
party.Labour Party; Cooperative Party.Prime Minister,37
party.Labour Party; Cooperative Party.Public Accounts Commission,1
party.Labour Party; Cooperative Party.Scotland Office,4
party.Labour Party; Cooperative Party.Speaker's Committee on the Electoral Commission,3
party.Labour Party; Cooperative Party.Treasury,49
party.Labour Party; Cooperative Party.Wales Office,11
party.Liberal Democrats,
party.Liberal Democrats.Cabinet Office,3
party.Liberal Democrats.Church Commissioners,2
party.Liberal Democrats.Communities and Local Government,7
party.Liberal Democrats.Department for Business Innovation and Skills,7
party.Liberal Democrats.Department for Culture Media and Sport,3
party.Liberal Democrats.Department for Education,11
party.Liberal Democrats.Department for Environment Food and Rural Affairs,8
party.Liberal Democrats.Department for International Development,9
party.Liberal Democrats.Department for Transport,17
party.Liberal Democrats.Department for Work and Pensions,6
party.Liberal Democrats.Department of Energy and Climate Change,15
party.Liberal Democrats.Department of Health,21
party.Liberal Democrats.Foreign and Commonwealth Office,10
party.Liberal Democrats.Home Office,12
party.Liberal Democrats.Leader of the House of Commons,1
party.Liberal Democrats.Minister for Women and Equalities,3
party.Liberal Democrats.Ministry of Defence,8
party.Liberal Democrats.Ministry of Justice,15
party.Liberal Democrats.Prime Minister,12
party.Liberal Democrats.Scotland Office,3
party.Liberal Democrats.Treasury,13
party.Liberal Democrats.Wales Office,7
party.Plaid Cymru,
party.Plaid Cymru.Cabinet Office,3
party.Plaid Cymru.Department for Business Innovation and Skills,2
party.Plaid Cymru.Department for Culture Media and Sport,2
party.Plaid Cymru.Department for Environment Food and Rural Affairs,1
party.Plaid Cymru.Department for Transport,3
party.Plaid Cymru.Department of Energy and Climate Change,4
party.Plaid Cymru.Home Office,2
party.Plaid Cymru.Ministry of Defence,3
party.Plaid Cymru.Ministry of Justice,3
party.Plaid Cymru.Prime Minister,8
party.Plaid Cymru.Wales Office,28
party.Scottish National Party,
party.Scottish National Party.Attorney General,23
party.Scottish National Party.Cabinet Office,47
party.Scottish National Party.Church Commissioners,3
party.Scottish National Party.Communities and Local Government,47
party.Scottish National Party.Department for Business Innovation and Skills,50
party.Scottish National Party.Department for Culture Media and Sport,40
party.Scottish National Party.Department for Education,42
party.Scottish National Party.Department for Environment Food and Rural Affairs,45
party.Scottish National Party.Department for International Development,43
party.Scottish National Party.Department for Transport,55
party.Scottish National Party.Department for Work and Pensions,93
party.Scottish National Party.Department of Energy and Climate Change,96
party.Scottish National Party.Department of Health,57
party.Scottish National Party.Foreign and Commonwealth Office,60
party.Scottish National Party.Home Office,63
party.Scottish National Party.House of Commons Commission,16
party.Scottish National Party.Leader of the House of Commons,39
party.Scottish National Party.Minister for Women and Equalities,39
party.Scottish National Party.Ministry of Defence,87
party.Scottish National Party.Ministry of Justice,63
party.Scottish National Party.Northern Ireland Office,7
party.Scottish National Party.Prime Minister,175
party.Scottish National Party.Public Accounts Commission,3
party.Scottish National Party.Scotland Office,112
party.Scottish National Party.Speaker's Committee on the Electoral Commission,6
party.Scottish National Party.Treasury,74
party.Scottish National Party.Wales Office,2
party.Social Democratic and Labour Party,
party.Social Democratic and Labour Party.Cabinet Office,1
party.Social Democratic and Labour Party.Department for Business Innovation and Skills,6
party.Social Democratic and Labour Party.Department for Culture Media and Sport,2
party.Social Democratic and Labour Party.Department for Education,1
party.Social Democratic and Labour Party.Department for Environment Food and Rural Affairs,4
party.Social Democratic and Labour Party.Department for Transport,1
party.Social Democratic and Labour Party.Department for Work and Pensions,2
party.Social Democratic and Labour Party.Department of Energy and Climate Change,5
party.Social Democratic and Labour Party.Department of Health,11
party.Social Democratic and Labour Party.Foreign and Commonwealth Office,9
party.Social Democratic and Labour Party.Home Office,2
party.Social Democratic and Labour Party.Minister for Women and Equalities,1
party.Social Democratic and Labour Party.Ministry of Defence,2
party.Social Democratic and Labour Party.Ministry of Justice,4
party.Social Democratic and Labour Party.Northern Ireland Office,21
party.Social Democratic and Labour Party.Prime Minister,7
party.Social Democratic and Labour Party.Treasury,8
party.UK Independence Party,
party.UK Independence Party.Attorney General,1
party.UK Independence Party.Department for Culture Media and Sport,2
party.UK Independence Party.Department for Education,2
party.UK Independence Party.Department for International Development,2
party.UK Independence Party.Department for Transport,1
party.UK Independence Party.Department of Energy and Climate Change,3
party.UK Independence Party.Department of Health,4
party.UK Independence Party.Foreign and Commonwealth Office,2
party.UK Independence Party.Home Office,6
party.UK Independence Party.House of Commons Commission,2
party.UK Independence Party.Minister for Women and Equalities,2
party.UK Independence Party.Ministry of Defence,2
party.UK Independence Party.Ministry of Justice,2
party.UK Independence Party.Prime Minister,8
party.Ulster Unionist Party,
party.Ulster Unionist Party.Attorney General,3
party.Ulster Unionist Party.Cabinet Office,4
party.Ulster Unionist Party.Church Commissioners,2
party.Ulster Unionist Party.Department for Business Innovation and Skills,1
party.Ulster Unionist Party.Department for Education,2
party.Ulster Unionist Party.Department for Environment Food and Rural Affairs,7
party.Ulster Unionist Party.Department for Transport,3
party.Ulster Unionist Party.Department for Work and Pensions,2
party.Ulster Unionist Party.Department of Health,3
party.Ulster Unionist Party.Foreign and Commonwealth Office,2
party.Ulster Unionist Party.Home Office,2
party.Ulster Unionist Party.Minister for Women and Equalities,1
party.Ulster Unionist Party.Ministry of Defence,2
party.Ulster Unionist Party.Ministry of Justice,6
party.Ulster Unionist Party.Northern Ireland Office,8
party.Ulster Unionist Party.Prime Minister,3
party.Ulster Unionist Party.Treasury,5
,
,
,
,
,
,
